"filename", "language", "Python", "JSON with Comments", "JSON", "pip requirements", "comment", "blank", "total"
"d:\repo\Idle RPG\Data\equipment.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"d:\repo\Idle RPG\Data\fish.json", "JSON", 0, 0, 44, 0, 0, 0, 44
"d:\repo\Idle RPG\Data\fishing_spots.json", "JSON", 0, 0, 38, 0, 0, 0, 38
"d:\repo\Idle RPG\Data\items.json", "JSON", 0, 0, 65, 0, 0, 0, 65
"d:\repo\Idle RPG\Data\monsters.json", "JSON", 0, 0, 26, 0, 0, 0, 26
"d:\repo\Idle RPG\Data\recipes.json", "JSON", 0, 0, 34, 0, 0, 0, 34
"d:\repo\Idle RPG\Data\rocks.json", "JSON", 0, 0, 20, 0, 0, 0, 20
"d:\repo\Idle RPG\Data\skills.json", "JSON", 0, 0, 37, 0, 0, 0, 37
"d:\repo\Idle RPG\Data\trees.json", "JSON", 0, 0, 20, 0, 0, 0, 20
"d:\repo\Idle RPG\Engine\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\repo\Idle RPG\Engine\action_factory.py", "Python", 53, 0, 0, 0, 0, 20, 73
"d:\repo\Idle RPG\Engine\action_manager.py", "Python", 57, 0, 0, 0, 4, 49, 110
"d:\repo\Idle RPG\Engine\action_registry.py", "Python", 20, 0, 0, 0, 0, 12, 32
"d:\repo\Idle RPG\Engine\action_state.py", "Python", 38, 0, 0, 0, 3, 25, 66
"d:\repo\Idle RPG\Engine\activity_registry.py", "Python", 17, 0, 0, 0, 0, 8, 25
"d:\repo\Idle RPG\Engine\game.py", "Python", 255, 0, 0, 0, 37, 138, 430
"d:\repo\Idle RPG\Engine\game_data.py", "Python", 13, 0, 0, 0, 6, 12, 31
"d:\repo\Idle RPG\Engine\offline_progress.py", "Python", 29, 0, 0, 0, 26, 18, 73
"d:\repo\Idle RPG\Engine\registry.py", "Python", 23, 0, 0, 0, 18, 14, 55
"d:\repo\Idle RPG\Engine\resource_loader.py", "Python", 87, 0, 0, 0, 9, 65, 161
"d:\repo\Idle RPG\Engine\save_data.py", "Python", 12, 0, 0, 0, 3, 11, 26
"d:\repo\Idle RPG\Engine\save_manager.py", "Python", 40, 0, 0, 0, 15, 23, 78
"d:\repo\Idle RPG\Engine\serializer.py", "Python", 78, 0, 0, 0, 6, 48, 132
"d:\repo\Idle RPG\Engine\xp.py", "Python", 19, 0, 0, 0, 5, 17, 41
"d:\repo\Idle RPG\Models\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 12
"d:\repo\Idle RPG\Models\drop.py", "Python", 7, 0, 0, 0, 13, 6, 26
"d:\repo\Idle RPG\Models\equipment.py", "Python", 12, 0, 0, 0, 5, 11, 28
"d:\repo\Idle RPG\Models\fish.py", "Python", 9, 0, 0, 0, 0, 4, 13
"d:\repo\Idle RPG\Models\fishing_spot.py", "Python", 9, 0, 0, 0, 0, 1, 10
"d:\repo\Idle RPG\Models\fishing_spot_entry.py", "Python", 5, 0, 0, 0, 0, 1, 6
"d:\repo\Idle RPG\Models\item.py", "Python", 13, 0, 0, 0, 8, 11, 32
"d:\repo\Idle RPG\Models\monster.py", "Python", 15, 0, 0, 0, 8, 13, 36
"d:\repo\Idle RPG\Models\player_skill.py", "Python", 33, 0, 0, 0, 0, 31, 64
"d:\repo\Idle RPG\Models\recipe.py", "Python", 12, 0, 0, 0, 8, 11, 31
"d:\repo\Idle RPG\Models\rocks.py", "Python", 10, 0, 0, 0, 3, 9, 22
"d:\repo\Idle RPG\Models\skill.py", "Python", 8, 0, 0, 0, 8, 7, 23
"d:\repo\Idle RPG\Models\tree.py", "Python", 10, 0, 0, 0, 0, 9, 19
"d:\repo\Idle RPG\Player\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 2
"d:\repo\Idle RPG\Player\inventory.py", "Python", 25, 0, 0, 0, 24, 27, 76
"d:\repo\Idle RPG\Player\player.py", "Python", 16, 0, 0, 0, 6, 8, 30
"d:\repo\Idle RPG\Systems\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 5
"d:\repo\Idle RPG\Systems\action.py", "Python", 27, 0, 0, 0, 15, 18, 60
"d:\repo\Idle RPG\Systems\cooking.py", "Python", 56, 0, 0, 0, 3, 29, 88
"d:\repo\Idle RPG\Systems\fishing.py", "Python", 55, 0, 0, 0, 0, 26, 81
"d:\repo\Idle RPG\Systems\mining.py", "Python", 23, 0, 0, 0, 3, 9, 35
"d:\repo\Idle RPG\Systems\woodcutting.py", "Python", 32, 0, 0, 0, 3, 17, 52
"d:\repo\Idle RPG\UI\Idle RPG.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 8
"d:\repo\Idle RPG\UI\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\repo\Idle RPG\UI\action_panel.py", "Python", 65, 0, 0, 0, 3, 36, 104
"d:\repo\Idle RPG\UI\activity_panel.py", "Python", 219, 0, 0, 0, 13, 138, 370
"d:\repo\Idle RPG\UI\inventory_panel.py", "Python", 26, 0, 0, 0, 0, 26, 52
"d:\repo\Idle RPG\UI\main_window.py", "Python", 145, 0, 0, 0, 20, 92, 257
"d:\repo\Idle RPG\UI\page_stack.py", "Python", 24, 0, 0, 0, 0, 17, 41
"d:\repo\Idle RPG\UI\player_panel.py", "Python", 24, 0, 0, 0, 5, 22, 51
"d:\repo\Idle RPG\UI\sidebar.py", "Python", 50, 0, 0, 0, 0, 24, 74
"d:\repo\Idle RPG\UI\skill_panel.py", "Python", 41, 0, 0, 0, 2, 29, 72
"d:\repo\Idle RPG\UI\skill_selector.py", "Python", 33, 0, 0, 0, 3, 23, 59
"d:\repo\Idle RPG\UI\skill_widget.py", "Python", 155, 0, 0, 0, 39, 115, 309
"d:\repo\Idle RPG\config.py", "Python", 23, 0, 0, 0, 28, 20, 71
"d:\repo\Idle RPG\main.py", "Python", 21, 0, 0, 0, 0, 18, 39
"d:\repo\Idle RPG\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 1, 1
"d:\repo\Idle RPG\save\player.json", "JSON", 0, 0, 44, 0, 0, 0, 44
"d:\repo\Idle RPG\test_factory.py", "Python", 31, 0, 0, 0, 0, 22, 53
"Total", "-", 1994, 8, 341, 0, 352, 1293, 3988